s,name
http://www.wikidata.org/entity/Q855004,
http://www.wikidata.org/entity/Q2212014,
http://www.wikidata.org/entity/Q2368359,
http://www.wikidata.org/entity/Q2599049,
http://www.wikidata.org/entity/Q4321959,
http://www.wikidata.org/entity/Q9385772,
http://www.wikidata.org/entity/Q10428442,
http://www.wikidata.org/entity/Q10727267,
http://www.wikidata.org/entity/Q10925459,
http://www.wikidata.org/entity/Q11252966,
http://www.wikidata.org/entity/Q11408433,
http://www.wikidata.org/entity/Q11497576,
http://www.wikidata.org/entity/Q11626999,
http://www.wikidata.org/entity/Q11665464,
http://www.wikidata.org/entity/Q11674981,
http://www.wikidata.org/entity/Q11944027,
http://www.wikidata.org/entity/Q12016720,
http://www.wikidata.org/entity/Q12686874,
http://www.wikidata.org/entity/Q13217504,
http://www.wikidata.org/entity/Q18460157,
http://www.wikidata.org/entity/Q20920675,
http://www.wikidata.org/entity/Q25379306,
http://www.wikidata.org/entity/Q30936256,
http://www.wikidata.org/entity/Q88023758,
http://www.wikidata.org/entity/Q106485200,
http://www.wikidata.org/entity/Q121793039,
http://www.wikidata.org/entity/Q121793067,
http://www.wikidata.org/entity/Q336797,100-year flood
http://www.wikidata.org/entity/Q110762146,2021-2022 Hunga Tonga–Hunga Haʻapai eruption series
http://www.wikidata.org/entity/Q110567218,2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami
http://www.wikidata.org/entity/Q117483295,2023 Canada ice storm
http://www.wikidata.org/entity/Q849463,Ansei Great Earthquakes
http://www.wikidata.org/entity/Q63100492,"Atlantic North, Eastern and Central Pacific Tropical Cyclones"
http://www.wikidata.org/entity/Q17000924,Australian east coast low
http://www.wikidata.org/entity/Q1284783,Australian region tropical cyclone
http://www.wikidata.org/entity/Q60753020,Black nor'easter
http://www.wikidata.org/entity/Q1141458,Cape Verde-type hurricane
http://www.wikidata.org/entity/Q1512672,Catatumbo lightning
http://www.wikidata.org/entity/Q63100559,Category 1 hurricane
http://www.wikidata.org/entity/Q63100584,Category 2 hurricane
http://www.wikidata.org/entity/Q63100595,Category 3 hurricane
http://www.wikidata.org/entity/Q63100601,Category 4 hurricane
http://www.wikidata.org/entity/Q63100611,Category 5 hurricane
http://www.wikidata.org/entity/Q1144521,Cordonazo wind
http://www.wikidata.org/entity/Q5308635,Drought in Australia
http://www.wikidata.org/entity/Q22058413,Drought in California
http://www.wikidata.org/entity/Q120756840,Earthquakes in Korea
http://www.wikidata.org/entity/Q148942,European windstorm
http://www.wikidata.org/entity/Q11615877,Geiyo earthquake
http://www.wikidata.org/entity/Q971897,Harmonic tremor
http://www.wikidata.org/entity/Q1199175,Hawaiian eruption
http://www.wikidata.org/entity/Q11505155,Hyūga-nada earthquake
http://www.wikidata.org/entity/Q3735402,Impact events on Jupiter
http://www.wikidata.org/entity/Q54774983,Intense Typhoon
http://www.wikidata.org/entity/Q30922173,Izu Ōshima Kinkai earthquake
http://www.wikidata.org/entity/Q24039748,Kantō earthquake
http://www.wikidata.org/entity/Q3044889,Kona storm
http://www.wikidata.org/entity/Q1781555,Mediterranean tropical cyclone
http://www.wikidata.org/entity/Q6808361,Megadrought
http://www.wikidata.org/entity/Q18659679,Mild Typhoon
http://www.wikidata.org/entity/Q371794,Missoula Floods
http://www.wikidata.org/entity/Q10875508,Moderate Typhoon
http://www.wikidata.org/entity/Q851627,Multicellular thunderstorm
http://www.wikidata.org/entity/Q17392329,Nankai earthquake
http://www.wikidata.org/entity/Q6963731,Nankai megathrust earthquake
http://www.wikidata.org/entity/Q1732400,Nevera
http://www.wikidata.org/entity/Q2001587,Nor'easter
http://www.wikidata.org/entity/Q7061452,Nor'wester
http://www.wikidata.org/entity/Q2359376,North Atlantic subtropical cyclone
http://www.wikidata.org/entity/Q2547976,North Atlantic tropical cyclone
http://www.wikidata.org/entity/Q27491739,North Indian Ocean tropical cyclone
http://www.wikidata.org/entity/Q3306242,Northeast Pacific tropical cyclone
http://www.wikidata.org/entity/Q63100732,Northwest Pacific tropical cyclone
http://www.wikidata.org/entity/Q106153558,October 2017 North American storm complex
http://www.wikidata.org/entity/Q11462954,Odawara earthquake
http://www.wikidata.org/entity/Q17107574,Pacific Northwest windstorm
http://www.wikidata.org/entity/Q2703194,Peléan eruption
http://www.wikidata.org/entity/Q336052,Pineapple Express
http://www.wikidata.org/entity/Q747501,Plinian eruption
http://www.wikidata.org/entity/Q851828,Pulse storm
http://www.wikidata.org/entity/Q17163226,River bank failure
http://www.wikidata.org/entity/Q1156730,Roof avalanches
http://www.wikidata.org/entity/Q7542357,Slush flow
http://www.wikidata.org/entity/Q858010,South Atlantic tropical cyclone
http://www.wikidata.org/entity/Q1348813,South Kantō earthquake
http://www.wikidata.org/entity/Q1284799,South Pacific tropical cyclone
http://www.wikidata.org/entity/Q27491742,South-West Indian Ocean tropical cyclone
http://www.wikidata.org/entity/Q611880,Strombolian eruption
http://www.wikidata.org/entity/Q1060842,Surtseyan eruption
http://www.wikidata.org/entity/Q97377287,Tōhoku crop failure
http://www.wikidata.org/entity/Q851560,Tōkai earthquake
http://www.wikidata.org/entity/Q21655593,Tōkai-Tōnankai-Nankai earthquake
http://www.wikidata.org/entity/Q17392370,Tōnankai earthquake
http://www.wikidata.org/entity/Q115486841,Ultra-Plinian eruption
http://www.wikidata.org/entity/Q110817828,Volcanic eruptions of Sakurajima
http://www.wikidata.org/entity/Q5943937,Vulcanian eruption
http://www.wikidata.org/entity/Q1873,acqua alta
http://www.wikidata.org/entity/Q308442,aftershock
http://www.wikidata.org/entity/Q2203887,air-mass thunderstorm
http://www.wikidata.org/entity/Q2742948,annular tropical cyclone
http://www.wikidata.org/entity/Q1070332,anticyclonic storm
http://www.wikidata.org/entity/Q4579420,anticyclonic tornado
http://www.wikidata.org/entity/Q7935,avalanche
http://www.wikidata.org/entity/Q4926665,blind thrust earthquake
http://www.wikidata.org/entity/Q205418,blizzard
http://www.wikidata.org/entity/Q1946791,bog slide
http://www.wikidata.org/entity/Q1572791,buran
http://www.wikidata.org/entity/Q60750874,buried rupture earthquake
http://www.wikidata.org/entity/Q63171248,category 1 tropical cyclone
http://www.wikidata.org/entity/Q63183636,category 2 tropical cyclone
http://www.wikidata.org/entity/Q63183653,category 3 severe tropical cyclone
http://www.wikidata.org/entity/Q63183687,category 4 severe tropical cyclone
http://www.wikidata.org/entity/Q63183721,category 5 severe tropical cyclone
http://www.wikidata.org/entity/Q5073763,characteristic earthquake
http://www.wikidata.org/entity/Q112577588,cliff collapse
http://www.wikidata.org/entity/Q5138350,coastal flood
http://www.wikidata.org/entity/Q11395325,cold disaster
http://www.wikidata.org/entity/Q585968,cold-core low
http://www.wikidata.org/entity/Q31090043,collapse of slope
http://www.wikidata.org/entity/Q11395473,crop failure
http://www.wikidata.org/entity/Q3697232,cryoseism
http://www.wikidata.org/entity/Q79602,cyclone
http://www.wikidata.org/entity/Q63106520,cyclonic storm
http://www.wikidata.org/entity/Q1484123,debris avalanche
http://www.wikidata.org/entity/Q63106482,deep depression
http://www.wikidata.org/entity/Q17006934,deep-focus earthquake
http://www.wikidata.org/entity/Q11559966,deep-seated landslide
http://www.wikidata.org/entity/Q134052,deluge myth
http://www.wikidata.org/entity/Q63106470,depression
http://www.wikidata.org/entity/Q3023711,derecho
http://www.wikidata.org/entity/Q5300157,doublet earthquake
http://www.wikidata.org/entity/Q43059,drought
http://www.wikidata.org/entity/Q5308639,drought in the United Kingdom
http://www.wikidata.org/entity/Q118121339,drought resilience
http://www.wikidata.org/entity/Q5309608,dry thunderstorm
http://www.wikidata.org/entity/Q182878,dust storm
http://www.wikidata.org/entity/Q7944,earthquake
http://www.wikidata.org/entity/Q11441818,earthquake disaster
http://www.wikidata.org/entity/Q112158455,earthquake doublet
http://www.wikidata.org/entity/Q3510594,earthquake in Japan
http://www.wikidata.org/entity/Q1772541,earthquake in New Zealand
http://www.wikidata.org/entity/Q105525772,earthquake in Vanuatu
http://www.wikidata.org/entity/Q114041309,earthquake sequence
http://www.wikidata.org/entity/Q5963817,earthquakes in Tabriz
http://www.wikidata.org/entity/Q23828916,east off Chiba earthquake
http://www.wikidata.org/entity/Q1296340,effusive eruption
http://www.wikidata.org/entity/Q1321886,explosive eruption
http://www.wikidata.org/entity/Q5422262,extraterrestrial vortex
http://www.wikidata.org/entity/Q1063457,extratropical cyclone
http://www.wikidata.org/entity/Q5422269,extratropical storm surge
http://www.wikidata.org/entity/Q63183392,extremely severe cyclonic storm
